Augustana Faculty,AUECO,AUECO490,Senior Seminar in Economics (Capstone Course)
Augustana Faculty,AUECO,AUECO497,Directed Reading I
Augustana Faculty,AUEDC,AUEDC210,Introduction to Educational Technology
Augustana Faculty,AUEFX,AUEFX200,Introduction to the Profession of Teaching
Augustana Faculty,AUEFX,AUEFX201,Orientation to Teaching
Augustana Faculty,AUENG,AUENG101,Critical Reading, Critical Writing
Augustana Faculty,AUENG,AUENG102,Critical Reading, Critical Writing
Augustana Faculty,AUENG,AUENG103,English Literature from the Romantic Period to the Present
Augustana Faculty,AUENG,AUENG104,English Literature from the Middle Ages to the Romantic Period
Augustana Faculty,AUENG,AUENG205,Children's Literature
Augustana Faculty,AUENG,AUENG206,Native Children's Literature
Augustana Faculty,AUENG,AUENG213,The English Language
Augustana Faculty,AUENG,AUENG215,Creative Writing
Augustana Faculty,AUENG,AUENG225,Middle Ages
Augustana Faculty,AUENG,AUENG265,MODERN AND CONTEMPORARY POETRY
Augustana Faculty,AUENG,AUENG268,Women and Environmental Literature
Augustana Faculty,AUENG,AUENG270,United States Literature and Culture to 1865
Augustana Faculty,AUENG,AUENG271,United States Literature since 1865
Augustana Faculty,AUENG,AUENG280,Canadian Literature to 1950
Augustana Faculty,AUENG,AUENG281,Canadian Literature since 1950
Augustana Faculty,AUENG,AUENG290,HISTORY OF ENGL LIT CRITICISM
Augustana Faculty,AUENG,AUENG292,Feminist Critical Theory and Women's Writing
Augustana Faculty,AUENG,AUENG298,Selected Topics in English Studies
Augustana Faculty,AUENG,AUENG299,Selected Topics in English Studies
Augustana Faculty,AUENG,AUENG305,Children's Literature
Augustana Faculty,AUENG,AUENG306,Native Children's Literature
Augustana Faculty,AUENG,AUENG313,The English Language
Augustana Faculty,AUENG,AUENG314,Advanced Creative Writing: Poetry
Augustana Faculty,AUENG,AUENG316,Advanced Creative Writing: Fiction
Augustana Faculty,AUENG,AUENG325,Middle Ages
Augustana Faculty,AUENG,AUENG365,MODERN AND CONTEMPORARY POETRY
Augustana Faculty,AUENG,AUENG368,Women and Environmental Literature
Augustana Faculty,AUENG,AUENG370,United States Literature and Culture to 1865
Augustana Faculty,AUENG,AUENG371,United States Literature since 1865
Augustana Faculty,AUENG,AUENG380,Canadian Literature to 1950
Augustana Faculty,AUENG,AUENG382,Postcolonial Literature and Theory
Augustana Faculty,AUENG,AUENG392,Feminist Critical Theory and Women's Writing
Augustana Faculty,AUENG,AUENG398,Selected Topics in English Studies
Augustana Faculty,AUENG,AUENG399,Selected Topics in English Studies
Augustana Faculty,AUENG,AUENG401,Directed Reading I
Augustana Faculty,AUENG,AUENG402,Directed Reading II
Augustana Faculty,AUENG,AUENG441,Selected Topics in English Studies
Augustana Faculty,AUENG,AUENG450,Selected Topics in English Studies
Augustana Faculty,AUENG,AUENG460,Selected Topics in English Studies
Augustana Faculty,AUENV,AUENV120,Human Activities and the Natural Environment
Augustana Faculty,AUENV,AUENV220,Applications in Sustainability
Augustana Faculty,AUENV,AUENV233,Soil Science and Soil Resources
Augustana Faculty,AUENV,AUENV252,Wildlife Diversity of Alberta
Augustana Faculty,AUENV,AUENV268,Women and Environmental Literature
Augustana Faculty,AUENV,AUENV320,Parks and Wilderness
Augustana Faculty,AUENV,AUENV324,Resource and Environmental Management
Augustana Faculty,AUENV,AUENV327,Environmental Education and Heritage Interpretation
Augustana Faculty,AUENV,AUENV328,Environmental Politics
Augustana Faculty,AUENV,AUENV334,Field Studies in Environmental Science and Ecology
Augustana Faculty,AUENV,AUENV335,Wildlife Ecology and Management
Augustana Faculty,AUENV,AUENV341,Environmental Economics
Augustana Faculty,AUENV,AUENV344,Environmental Psychology
